,"Emissions quantity, tonnes","Total population, thousands",Population density,GDP per capita,WMG,clusters
2052,-0.4458578357264815,-0.5222635068454988,-0.20629650437118432,-0.5887357246563033,-0.15020307988924297,0
2053,-0.4708980067781994,-0.5249891646040415,-0.17548154342996639,-0.5430966559971415,0.4824326853174049,3
2054,-0.4682216669368008,-0.5249891646040415,-0.17548154342996639,-0.5430966559971415,0.4824326853174049,3
2055,-0.4626707398583445,-0.5249891646040415,-0.17548154342996639,-0.5430966559971415,0.4824326853174049,3
2059,-0.3718734326464516,1.1212800219912353,-0.19247448538693127,-0.4516243098760129,1.2708900675700248,3
2060,2.304466408752137,1.1212800219912353,-0.19247448538693127,-0.4516243098760129,1.2708900675700248,2
2061,-0.4697428344534932,0.0008379862785333371,-0.20636256526644914,-0.6839465902314271,-1.1287628349379493,0
2062,-0.4358768418450264,0.0008379862785333371,-0.20636256526644914,-0.6839465902314271,-1.1287628349379493,0
2063,-0.3656362645830213,0.0008379862785333371,-0.20636256526644914,-0.6839465902314271,-1.1287628349379493,0
2064,-0.4660028210853849,-0.09071039493107651,-0.19715991555108486,-0.6632633527327007,-0.7859552774368102,0
2065,-0.33115646753799444,-0.09071039493107651,-0.19715991555108486,-0.6632633527327007,-0.7859552774368102,0
2066,-0.051475141661925405,-0.09071039493107651,-0.19715991555108486,-0.6632633527327007,-0.7859552774368102,0
2067,-0.4603794574585146,0.3781027395382699,-0.2060628445379328,-0.6056318905003335,-1.1287628349379493,0
2068,-0.17370228598562734,0.3781027395382699,-0.2060628445379328,-0.6056318905003335,-1.1287628349379493,0
2069,0.42088740299517596,0.3781027395382699,-0.2060628445379328,-0.6056318905003335,-1.1287628349379493,0
2073,-0.4643485990666059,-0.45027242254254596,-0.15777538847412387,-0.47017125054388503,-1.1287628349379493,0
2074,-0.28483825101218285,-0.45027242254254596,-0.15777538847412387,-0.47017125054388503,-1.1287628349379493,0
2075,0.08747950791550936,-0.45027242254254596,-0.15777538847412387,-0.47017125054388503,-1.1287628349379493,0
2076,-0.43325387630245915,-0.2721773826080748,-0.1426034028616349,1.4686637800585727,-0.2935589675715375,3
2077,0.5858139863839266,-0.2721773826080748,-0.1426034028616349,1.4686637800585727,-0.2935589675715375,3
2078,2.6994362201038378,-0.2721773826080748,-0.1426034028616349,1.4686637800585727,-0.2935589675715375,2
2079,-0.4311570288483719,0.7263125430832316,-0.21213310680282318,-0.24454917388524128,0.26116598911212413,3
2080,0.6445257150983685,0.7263125430832316,-0.21213310680282318,-0.24454917388524128,0.26116598911212413,3
2081,2.875571406247164,0.7263125430832316,-0.21213310680282318,-0.24454917388524128,0.26116598911212413,2
2082,-0.4689574697706896,-0.4517616994621621,-0.16132310321982762,-0.49595246911624136,-1.1287628349379493,0
2083,-0.4138866307265263,-0.4517616994621621,-0.16132310321982762,-0.49595246911624136,-1.1287628349379493,0
2084,-0.29966563122752105,-0.4517616994621621,-0.16132310321982762,-0.49595246911624136,-1.1287628349379493,0
2085,-0.470749321231455,-0.5284173114756108,-0.09387859920417453,0.1590652705441337,1.2116778530925552,3
2086,-0.46405847162795855,-0.5284173114756108,-0.09387859920417453,0.1590652705441337,1.2116778530925552,3
