,Country,Year,Gas type,"Emissions quantity, tonnes",Emissions per capita
2202,Kuwait,2021,ch4,300000.0,70.58823529411765
2203,Kuwait,2021,co2e_100yr,8400000.0,1976.4705882352941
2204,Kuwait,2021,co2e_20yr,25200000.0,5929.411764705882
2856,New Zealand,2015,ch4,141000.0,30.718954248366014
2857,New Zealand,2015,co2e_100yr,3948000.0,860.1307189542483
2858,New Zealand,2015,co2e_20yr,11844000.0,2580.392156862745
2859,New Zealand,2016,ch4,142000.0,30.41988003427592
2860,New Zealand,2016,co2e_100yr,3976000.0,851.7566409597258
2861,New Zealand,2016,co2e_20yr,11928000.0,2555.2699228791776
2862,New Zealand,2017,ch4,144000.0,30.34134007585335
2863,New Zealand,2017,co2e_100yr,4032000.0,849.5575221238938
2864,New Zealand,2017,co2e_20yr,12096000.0,2548.6725663716816
2865,New Zealand,2018,ch4,145000.0,29.971062422488632
2866,New Zealand,2018,co2e_100yr,4060000.0,839.1897478296817
2867,New Zealand,2018,co2e_20yr,12180000.0,2517.569243489045
2868,New Zealand,2019,ch4,145000.0,29.239766081871345
2869,New Zealand,2019,co2e_100yr,4060000.0,818.7134502923976
2870,New Zealand,2019,co2e_20yr,12180000.0,2456.1403508771928
2871,New Zealand,2020,ch4,145000.0,28.65046433511164
2872,New Zealand,2020,co2e_100yr,4060000.0,802.2130013831259
2873,New Zealand,2020,co2e_20yr,12180000.0,2406.639004149378
2874,New Zealand,2021,ch4,145000.0,28.2706180542016
2875,New Zealand,2021,co2e_100yr,4060000.0,791.5773055176447
2876,New Zealand,2021,co2e_20yr,12180000.0,2374.7319165529343
3444,Saint Pierre and Miquelon,2015,ch4,179.0,35.8
3445,Saint Pierre and Miquelon,2015,co2e_100yr,5012.0,1002.4
3446,Saint Pierre and Miquelon,2015,co2e_20yr,15036.0,3007.2
3447,Saint Pierre and Miquelon,2016,ch4,179.0,35.8
3448,Saint Pierre and Miquelon,2016,co2e_100yr,5012.0,1002.4
3449,Saint Pierre and Miquelon,2016,co2e_20yr,15036.0,3007.2
